timestamp,port2_qdepth,port3_qdepth,port4_qdepth,port5_qdepth,port2_mbps,port3_mbps,port4_mbps,port5_mbps,jitter_ms,loss_pct
264.7,0,0,1,0,0.0,0.0,789.846,0.0,12.48,0.0
265.7,1,1,1,0,0.091,0.054,22.456,0.0,13.83,0.0
266.7,0,0,1,0,0.003,0.002,0.967,0.0,13.83,0.0
267.8,0,0,1,0,0.0,0.0,0.249,0.0,15.1,0.0
268.8,0,0,1,0,0.0,0.0,0.044,0.0,14.17,0.0
269.8,0,0,1,0,0.0,0.0,0.237,0.0,14.17,0.0
270.8,0,0,1,0,0.0,0.0,0.044,0.0,13.29,0.0
271.9,0,0,1,0,0.0,0.0,0.104,0.0,12.46,0.0
272.9,1,1,1,0,0.379,0.223,0.605,0.0,12.46,0.0
273.9,0,0,0,0,0.011,0.006,0.017,0.0,13.84,0.0
274.9,0,0,1,0,0.0,0.0,1286.096,0.0,15.12,0.0
275.9,0,0,1,0,0.0,0.0,36.511,0.0,15.12,0.0
277.0,0,0,1,0,0.0,0.0,1.085,0.0,14.18,0.0
278.0,0,0,1,0,0.0,0.0,0.158,0.0,13.3,0.0
279.0,0,0,1,0,0.0,0.0,0.113,0.0,13.3,0.0
280.0,0,0,1,0,0.0,0.0,1286.073,0.0,12.49,0.0
281.1,1,1,1,0,0.044,0.026,36.391,0.0,13.85,0.0
282.1,0,0,1,0,0.001,0.001,1.175,0.0,13.85,0.0
283.1,0,0,1,0,0.0,0.0,0.142,0.0,15.11,0.0
284.1,0,0,1,0,0.0,0.0,0.239,0.0,14.17,0.0
285.2,0,0,1,0,0.0,0.0,0.083,0.0,14.17,0.0
286.2,0,0,1,0,0.0,0.0,0.015,0.0,13.33,0.0
287.2,0,0,1,0,0.0,0.0,0.039,0.0,12.53,0.0
288.2,1,1,1,0,0.153,0.109,0.264,0.0,12.53,0.0
289.3,0,0,1,0,0.004,0.003,0.163,0.0,13.89,0.0
290.3,0,0,1,0,0.0,0.0,1286.074,0.0,15.1,0.0
291.3,0,0,1,0,0.0,0.0,808.023,0.0,15.1,0.0
292.3,0,0,1,0,0.0,0.0,22.851,0.0,14.21,0.0
293.4,0,0,1,0,0.0,0.0,965.251,0.0,13.34,0.0
294.4,0,0,1,0,0.0,0.0,27.428,0.0,13.34,0.0
295.4,1,0,1,0,0.222,0.0,0.997,0.0,12.51,0.0
296.4,1,1,1,0,1286.076,1286.069,2572.167,0.0,13.84,0.0
297.5,0,0,1,0,36.328,36.328,72.713,0.0,13.84,0.0
298.5,0,0,1,0,1.026,1.026,2.314,0.0,15.11,0.0
299.5,0,0,1,0,0.029,0.029,0.141,0.0,14.17,0.0
300.5,0,0,1,0,0.001,0.001,0.263,0.0,14.17,0.0
301.6,0,0,1,0,0.0,0.0,0.164,0.0,13.29,0.0
302.6,0,0,1,0,0.0,0.0,0.018,0.0,12.47,0.0
303.6,1,1,1,0,0.064,0.037,0.09,0.0,13.82,0.0
304.7,0,0,1,0,0.002,0.001,0.21,0.0,15.1,0.0
305.7,0,0,1,0,0.0,0.0,0.162,0.0,15.1,0.0
306.7,0,0,1,0,0.0,0.0,0.031,0.0,14.19,0.0
307.7,0,0,1,0,0.0,0.0,1286.179,0.0,13.31,0.0
308.7,0,0,1,0,0.0,0.0,36.35,0.0,13.31,0.0
309.8,0,0,1,0,0.0,0.0,1.098,0.0,12.48,0.0
310.8,1,1,1,0,0.266,0.157,0.407,0.0,13.82,0.0
311.8,0,0,1,0,0.008,0.004,0.234,0.0,13.82,0.0
312.8,0,0,1,0,0.0,0.0,0.025,0.0,15.09,0.0
313.9,0,0,1,0,0.0,0.0,0.09,0.0,14.16,0.0
314.9,0,0,1,0,0.0,0.0,0.04,0.0,14.16,0.0
315.9,0,0,1,0,0.0,0.0,0.09,0.0,13.3,0.0
316.9,0,0,1,0,0.0,0.0,0.235,0.0,12.47,0.0
318.0,0,0,0,0,0.0,0.0,0.007,0.0,12.47,0.0
319.0,1,1,1,0,0.026,0.018,0.044,0.0,13.84,0.0
320.0,0,0,1,0,0.001,0.001,0.081,0.0,13.84,0.0
321.0,0,0,1,0,0.0,0.0,0.056,0.0,15.13,0.0
322.1,0,0,1,0,0.0,0.0,1286.226,0.0,14.2,0.0
323.1,0,0,1,0,0.0,0.0,36.386,0.0,14.2,0.0
324.1,0,0,1,0,0.0,0.0,965.58,0.0,13.31,0.0
325.1,0,0,1,0,0.0,0.0,670.328,0.0,12.58,0.0
326.2,1,1,1,0,0.107,0.053,19.079,0.0,12.58,0.0
327.2,0,0,1,0,0.003,0.002,0.871,0.0,14.01,0.0
328.2,0,0,1,0,0.0,0.0,0.245,0.0,15.21,0.0
329.2,0,0,1,0,0.0,0.0,0.044,0.0,15.21,0.0
330.3,0,0,1,0,0.0,0.0,0.237,0.0,14.3,0.0
331.3,0,0,1,0,0.0,0.0,0.044,0.0,13.46,0.0
332.3,0,0,1,0,0.0,0.0,0.103,0.0,13.46,0.0
333.3,1,1,1,0,0.379,0.222,0.604,0.0,12.67,0.0
334.4,0,0,0,0,0.011,0.006,0.017,0.0,14.02,0.0
335.4,0,0,1,0,0.0,0.0,964.579,0.0,14.02,0.0
336.4,0,0,1,0,0.0,0.0,27.428,0.0,15.27,0.0
337.5,0,0,1,0,0.0,0.0,0.828,0.0,14.33,0.0
338.5,0,0,1,0,0.0,0.0,0.15,0.0,14.33,0.0
339.5,0,0,1,0,0.0,0.0,0.335,0.0,13.46,0.0
340.5,0,0,0,0,0.0,0.0,0.009,0.0,12.63,0.0
341.6,1,1,1,0,0.037,0.026,0.063,0.0,13.97,0.0
342.6,0,0,1,0,0.001,0.001,0.148,0.0,15.26,0.0
343.6,0,0,1,0,0.0,0.0,0.08,0.0,15.26,0.0
344.6,0,0,1,0,0.0,0.0,0.237,0.0,14.31,0.0
345.7,0,0,1,0,0.0,0.0,0.083,0.0,13.43,0.0
346.7,0,0,1,0,0.0,0.0,0.015,0.0,13.43,0.0
347.7,0,0,1,0,0.0,0.0,0.039,0.0,12.61,0.0
348.7,1,1,1,0,0.153,0.077,0.208,0.0,14.03,0.0
349.8,0,0,1,0,0.004,0.002,0.16,0.0,14.03,0.0
350.8,0,0,1,0,0.0,0.0,964.557,0.0,15.35,0.0
351.8,0,0,1,0,0.0,0.0,991.852,0.0,14.39,0.0
352.8,0,0,1,0,0.0,0.0,28.036,0.0,14.39,0.0
353.9,0,0,1,0,0.0,0.0,772.487,0.0,13.5,0.0
354.9,0,0,1,0,0.0,0.0,21.968,0.0,12.66,0.0
355.9,1,0,1,0,0.223,0.0,1.066,0.0,12.66,0.0
357.0,1,1,1,0,1286.076,1286.069,1286.1,0.0,14.02,0.0
358.0,0,0,1,0,36.328,36.328,36.379,0.0,15.28,0.0
359.0,0,0,1,0,1.026,1.026,1.208,0.0,15.28,0.0
360.0,0,0,1,0,0.029,0.029,0.111,0.0,14.35,0.0
361.1,0,0,1,0,0.001,0.001,0.185,0.0,13.48,0.0
362.1,0,0,1,0,0.0,0.0,0.161,0.0,13.48,0.0
363.1,0,0,1,0,0.0,0.0,964.557,0.0,12.64,0.0
364.1,1,1,1,0,0.053,0.037,27.325,0.0,13.99,0.0
365.2,0,0,1,0,0.001,0.001,0.934,0.0,13.99,0.0
366.2,0,0,1,0,0.0,0.0,0.135,0.0,15.24,0.0
367.2,0,0,1,0,0.0,0.0,0.245,0.0,14.3,0.0
368.2,0,0,1,0,0.0,0.0,0.116,0.0,14.3,0.0
369.3,0,0,1,0,0.0,0.0,0.022,0.0,13.42,0.0
370.3,0,0,1,0,0.0,0.0,0.056,0.0,12.58,0.0
371.3,1,1,1,0,0.185,0.109,0.296,0.0,12.58,0.0
372.3,0,0,1,0,0.005,0.003,0.231,0.0,13.94,0.0
373.4,0,0,1,0,0.0,0.0,0.019,0.0,15.21,0.0
374.4,0,0,1,0,0.0,0.0,0.09,0.0,15.21,0.0
375.4,0,0,1,0,0.0,0.0,0.029,0.0,14.27,0.0
376.5,0,0,1,0,0.0,0.0,0.067,0.0,13.38,0.0
377.5,0,0,1,0,0.0,0.0,0.211,0.0,13.38,0.0
378.5,0,0,0,0,0.0,0.0,0.006,0.0,12.6,0.0
379.5,1,1,1,0,964.565,0.013,1929.117,0.0,13.94,0.0
380.6,0,0,1,0,27.247,0.0,54.564,0.0,15.21,0.0
381.6,0,0,1,0,0.77,0.0,1.8,0.0,14.28,0.0
382.6,0,0,1,0,0.022,0.0,0.159,0.0,14.28,0.0
383.6,0,0,1,0,0.001,0.0,0.264,0.0,13.39,0.0
384.7,0,0,1,0,0.0,0.0,0.229,0.0,13.39,0.0
385.7,0,0,1,0,0.0,0.0,0.019,0.0,12.56,0.0
386.7,1,1,1,0,0.075,0.053,0.112,0.0,13.94,0.0
387.7,0,0,1,0,0.002,0.002,0.234,0.0,13.94,0.0
388.8,0,0,1,0,0.0,0.0,0.162,0.0,15.21,0.0
389.8,0,0,1,0,0.0,0.0,0.031,0.0,14.27,0.0
390.8,0,0,1,0,0.0,0.0,964.71,0.0,14.27,0.0
