src1_port2_qdepth_max,src1_port2_mbps_mean,src1_port2_mbps_std,src1_port3_qdepth_max,src1_port3_mbps_mean,src1_port3_mbps_std,src1_port4_qdepth_max,src1_port4_mbps_mean,src1_port4_mbps_std,src1_port5_qdepth_max,src1_port5_mbps_mean,src1_port5_mbps_std,src1_port2_mbps_cv,src1_port2_load_util,src1_port3_mbps_cv,src1_port3_load_util,src1_port4_mbps_cv,src1_port4_load_util,src1_port5_mbps_cv,src1_port5_load_util,qdepth_max_imbalance,mbps_imbalance,total_qdepth_max,Total_Load_Mbps,Weight_Port2,Capacity_Port2,Weight_Port3,Capacity_Port3,Weight_Port4,Capacity_Port4,Weight_Port5,Capacity_Port5,Label_Latency_ms,Label_Latency_p99_ms,Label_Jitter_ms,Label_Loss_Rate
7,0.4027,0.0933,8,0.3958,0.0911,27,0.7988,0.1897,26,0.8168,0.1823,0.2317,0.5034,0.2302,0.4948,0.2375,0.6657,0.2232,0.6807,20,0.2044,68,2.4,3,0.8,3,0.8,6,1.2,6,1.2,116.49329999999996,604.0400000000005,19.98681793754868,0.27932960893854747
64,0.7232,0.1413,64,0.713,0.1358,4,0.1993,0.0672,2,0.2005,0.0587,0.1954,0.904,0.1905,0.8912,0.3372,0.1661,0.2928,0.1671,62,0.2591,134,2.4,5,0.8,5,0.8,1,1.2,1,1.2,909.9258666666667,1275.2,25.77654261287494,17.225325884543764
64,0.7185,0.128,64,0.7241,0.1292,6,0.5498,0.1534,6,0.5606,0.1615,0.1781,0.8981,0.1784,0.9051,0.279,0.4582,0.2881,0.4672,58,0.0832,140,4.8,7,0.8,7,0.8,4,1.2,4,1.2,3989.866,6161.82,140.78760261004373,33.42644320297951
11,0.4075,0.0856,10,0.4156,0.0833,2,0.2033,0.0635,2,0.2035,0.0532,0.2101,0.5094,0.2004,0.5195,0.3123,0.1694,0.2614,0.1696,9,0.1041,25,1.2,5,0.8,5,0.8,5,1.2,5,1.2,72.5067,451.5100000000003,34.591688455068315,0.0
64,0.708,0.167,64,0.6913,0.1764,43,0.4056,0.1248,5,0.4106,0.1347,0.2359,0.885,0.2552,0.8641,0.3077,0.338,0.3281,0.3422,59,0.1459,176,2.4,7,0.8,7,0.8,7,1.2,7,1.2,1090.1601020408164,1889.39,118.36708719182693,2.1415270018621975
11,0.372,0.1125,11,0.3735,0.1214,64,1.0582,0.2173,64,1.0487,0.2145,0.3024,0.465,0.325,0.4669,0.2053,0.8818,0.2045,0.8739,53,0.3404,150,4.8,4,0.8,4,0.8,4,1.2,4,1.2,3453.1209302325583,5826.9,104.39439670549417,26.11331312660294
64,0.7331,0.1769,64,0.7425,0.1429,13,0.6773,0.1641,13,0.6965,0.1802,0.2413,0.9164,0.1925,0.9281,0.2423,0.5644,0.2587,0.5804,51,0.0265,154,4.8,5,0.8,5,0.8,2,1.2,2,1.2,2702.4456140350876,4658.5599999999995,27.23377846264258,21.98416394969725
2,0.0518,0.0266,1,0.0533,0.0203,14,0.5669,0.1522,14,0.5924,0.1772,0.5135,0.0647,0.3809,0.0666,0.2685,0.4724,0.2991,0.4937,13,0.2637,31,1.2,1,0.8,1,0.8,7,1.2,7,1.2,130.28414141414143,1105.2799999999995,28.058918545219257,2.2222222222222223
0,0.0,0.0,0,0.0,0.0,14,0.6115,0.1305,14,0.6238,0.1246,0.0,0.0,0.0,0.0,0.2134,0.5096,0.1997,0.5198,14,0.3089,28,1.2,1,0.8,1,0.8,8,1.2,8,1.2,71.31360000000001,242.72000000000088,30.9062244589006,0.0
64,0.6967,0.1262,64,0.6855,0.1325,64,1.1305,0.2057,64,1.1153,0.2073,0.1811,0.8709,0.1933,0.8569,0.182,0.9421,0.1859,0.9294,0,0.216,256,4.8,4,0.8,4,0.8,6,1.2,6,1.2,1307.4302083333334,2006.75,75.94196262334444,15.273573923166472
0,0.0,0.0,0,0.0,0.0,12,0.6041,0.1344,12,0.6092,0.1272,0.0,0.0,0.0,0.0,0.2225,0.5034,0.2088,0.5077,12,0.3033,24,1.2,2,0.8,2,0.8,6,1.2,6,1.2,64.34819999999999,305.7400000000009,25.6624658834219,0.0
6,0.254,0.065,6,0.2472,0.0514,7,0.3491,0.0769,6,0.3673,0.079,0.2559,0.3175,0.2079,0.309,0.2203,0.2909,0.2151,0.3061,1,0.0542,25,1.2,1,0.8,1,0.8,3,1.2,3,1.2,86.57140000000001,524.4300000000002,32.47846835764352,0.0
23,0.6311,0.1398,23,0.6398,0.1445,11,0.637,0.1671,13,0.6361,0.1873,0.2215,0.7889,0.2259,0.7998,0.2623,0.5308,0.2945,0.5301,12,0.0031,70,2.4,6,0.8,6,0.8,8,1.2,8,1.2,302.53650000000005,1014.910000000002,29.74020950513367,0.04679457182966776
64,0.7307,0.1219,64,0.7303,0.1227,4,0.5808,0.1565,4,0.5718,0.1434,0.1668,0.9134,0.168,0.9129,0.2695,0.484,0.2508,0.4765,60,0.0772,136,4.8,4,0.8,4,0.8,1,1.2,1,1.2,1633.3525531914895,2604.94,23.14419230044286,39.74388824214203
64,0.7216,0.1166,64,0.721,0.117,55,1.1115,0.1821,55,1.1108,0.1833,0.1616,0.902,0.1623,0.9012,0.1638,0.9262,0.165,0.9257,9,0.1949,238,4.8,3,0.8,3,0.8,2,1.2,2,1.2,1610.163076923077,2388.2,46.09321083707829,15.040745052386495
13,0.3771,0.0944,12,0.3692,0.1044,64,1.1438,0.1898,64,1.1517,0.1883,0.2503,0.4714,0.2828,0.4615,0.1659,0.9532,0.1635,0.9598,52,0.3873,153,4.8,2,0.8,2,0.8,8,1.2,8,1.2,1104.9592,1894.13,142.09132676786652,29.83232417326502
3,0.2131,0.0814,2,0.2051,0.0554,56,1.0228,0.205,56,1.0167,0.2112,0.382,0.2664,0.2701,0.2564,0.2004,0.8523,0.2077,0.8472,54,0.4053,117,2.4,2,0.8,2,0.8,6,1.2,6,1.2,337.2441414141415,789.1399999999987,15.1809894534216,0.41899441340782123
7,0.3893,0.0748,4,0.4171,0.0828,6,0.806,0.1686,7,0.7956,0.1505,0.1921,0.4866,0.1985,0.5214,0.2092,0.6717,0.1892,0.663,3,0.1991,24,2.4,3,0.8,3,0.8,7,1.2,7,1.2,80.67080000000001,371.92000000000047,20.179184510176434,1.3966480446927374
7,0.4076,0.0705,7,0.4097,0.0708,7,0.1895,0.0426,7,0.2135,0.0522,0.173,0.5095,0.1728,0.5121,0.2248,0.1579,0.2445,0.1779,0,0.1039,28,1.2,2,0.8,2,0.8,1,1.2,1,1.2,57.56980000000001,236.06000000000003,21.86765055239558,0.0
64,0.7296,0.1117,64,0.7318,0.1151,3,0.4572,0.0893,3,0.4424,0.0982,0.1531,0.912,0.1573,0.9148,0.1953,0.381,0.222,0.3687,61,0.1405,134,3.6,5,0.8,5,0.8,1,1.2,1,1.2,930.3181818181819,1198.8,29.00939959832886,29.91293532338308
4,0.2666,0.0621,6,0.2532,0.0584,5,0.3587,0.0771,8,0.3593,0.0861,0.2329,0.3332,0.2306,0.3165,0.2149,0.2989,0.2396,0.2994,4,0.0498,23,1.2,8,0.8,8,0.8,5,1.2,5,1.2,50.636900000000004,252.06000000000003,41.2316235719937,0.0
64,0.712,0.122,64,0.7112,0.1279,3,0.0869,0.0288,1,0.1113,0.0325,0.1713,0.89,0.1798,0.889,0.3314,0.0724,0.292,0.0928,63,0.3064,132,2.4,4,0.8,4,0.8,1,1.2,1,1.2,912.6828750000001,1138.7699999999998,25.601360043737735,25.79143389199255
3,0.2964,0.0502,3,0.3147,0.0556,3,0.3002,0.0548,3,0.3031,0.0576,0.1694,0.3705,0.1767,0.3934,0.1825,0.2502,0.19,0.2526,0,0.0068,12,1.2,8,0.8,8,0.8,8,1.2,8,1.2,44.27539999999999,155.17000000000007,22.45238586142144,0.0
9,0.2575,0.0658,9,0.2598,0.0676,64,1.1398,0.2035,64,1.138,0.204,0.2555,0.3219,0.2602,0.3247,0.1785,0.9498,0.1793,0.9483,55,0.4401,146,3.6,5,0.8,5,0.8,6,1.2,6,1.2,1701.5410000000002,2911.28,27.774687381578058,3.296019900497513
64,0.7534,0.1366,64,0.7524,0.1357,64,1.1074,0.1939,64,1.0888,0.1976,0.1813,0.9417,0.1804,0.9405,0.1751,0.9228,0.1815,0.9073,0,0.1727,256,4.8,5,0.8,5,0.8,7,1.2,7,1.2,1716.7922988505745,3084.28,40.62986871290417,9.126891734575088
64,0.7238,0.1154,64,0.707,0.1149,2,0.1969,0.0458,1,0.2024,0.0446,0.1594,0.9048,0.1625,0.8838,0.2326,0.1641,0.2204,0.1687,63,0.258,131,2.4,8,0.8,8,0.8,2,1.2,2,1.2,888.6341463414634,1147.94,23.64582486585086,17.690875232774676
64,0.7217,0.1254,64,0.7226,0.1327,23,0.3281,0.0909,5,0.3174,0.0998,0.1738,0.9021,0.1836,0.9032,0.277,0.2734,0.3144,0.2645,59,0.1997,156,4.8,6,0.8,6,0.8,2,1.2,2,1.2,2421.276923076923,3942.5,60.489392446233644,47.251979506287846
11,0.5717,0.1357,11,0.5725,0.126,40,1.0886,0.2113,39,1.088,0.2189,0.2374,0.7146,0.2201,0.7156,0.1941,0.9072,0.2012,0.9067,29,0.2581,101,3.6,5,0.8,5,0.8,6,1.2,6,1.2,651.3014,1187.3200000000002,11.602933080378527,0.0
64,0.7515,0.1221,64,0.7535,0.1259,12,0.8196,0.1722,11,0.8039,0.1627,0.1625,0.9394,0.1671,0.9419,0.2101,0.683,0.2024,0.6699,53,0.0301,151,4.8,2,0.8,2,0.8,2,1.2,2,1.2,1696.4555913978495,3402.36,32.651792340870685,16.783054003724395
19,0.5954,0.1459,19,0.582,0.1533,41,1.1242,0.2142,42,1.1248,0.221,0.245,0.7442,0.2634,0.7275,0.1905,0.9368,0.1965,0.9373,23,0.2679,121,3.6,1,0.8,1,0.8,2,1.2,2,1.2,312.4549494949495,1043.2999999999997,41.738426903430046,0.18656716417910446
3,0.3645,0.0605,3,0.3457,0.0554,2,0.253,0.0464,2,0.2503,0.0466,0.166,0.4556,0.1603,0.4321,0.1834,0.2108,0.1862,0.2086,1,0.0522,10,1.2,6,0.8,6,0.8,8,1.2,8,1.2,42.02009999999999,114.06000000000003,16.409324782076627,0.0
